AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
215,"[48, 49, 24, 17, 32, 3, 46, 46]",ga_gen_500.csv:gen104,386,432,8,390.0
216,"[24, 6, 42, 28, 12, 42, 43, 24]",ga_gen_500.csv:gen106,443,372,11,448.5
217,"[38, 13, 33, 27, 43, 44, 34, 37]",ga_gen_500.csv:gen108,405,410,11,410.5
218,"[39, 26, 2, 36, 19, 8, 25, 28]",ga_gen_500.csv:gen110,414,405,7,417.5
219,"[39, 28, 3, 34, 18, 10, 24, 28]",ga_gen_500.csv:gen112,435,382,9,439.5
220,"[32, 12, 28, 32, 28, 23, 33, 14]",ga_gen_500.csv:gen114,509,313,4,511.0
221,"[2, 48, 12, 11, 25, 26, 5, 16]",ga_gen_500.csv:gen116,460,362,4,462.0
222,"[47, 26, 22, 15, 29, 24, 38, 18]",ga_gen_500.csv:gen118,539,284,3,540.5
223,"[20, 46, 33, 25, 38, 22, 43, 22]",ga_gen_500.csv:gen120,367,448,11,372.5
224,"[18, 34, 27, 30, 10, 18, 36, 27]",ga_gen_500.csv:gen122,265,554,7,268.5
225,"[36, 14, 22, 34, 22, 15, 37, 14]",ga_gen_500.csv:gen124,448,373,5,450.5
226,"[28, 37, 29, 28, 44, 12, 41, 42]",ga_gen_500.csv:gen126,318,503,5,320.5
227,"[30, 26, 19, 20, 26, 28, 33, 14]",ga_gen_500.csv:gen128,402,415,9,406.5
228,"[5, 34, 18, 12, 19, 40, 50, 26]",ga_gen_500.csv:gen130,365,445,16,373.0
229,"[42, 36, 19, 49, 12, 7, 24, 0]",ga_gen_500.csv:gen132,371,437,18,380.0
230,"[21, 50, 10, 1, 27, 8, 28, 39]",ga_gen_500.csv:gen134,501,323,2,502.0
231,"[26, 33, 30, 30, 23, 31, 42, 32]",ga_gen_500.csv:gen136,337,483,6,340.0
232,"[15, 11, 41, 25, 20, 20, 33, 16]",ga_gen_500.csv:gen138,352,469,5,354.5
233,"[8, 48, 29, 18, 40, 48, 32, 13]",ga_gen_500.csv:gen140,275,537,14,282.0
234,"[34, 21, 7, 37, 26, 17, 30, 39]",ga_gen_500.csv:gen142,389,423,14,396.0
235,"[25, 6, 20, 23, 34, 11, 32, 31]",ga_gen_500.csv:gen144,484,334,8,488.0
236,"[15, 30, 12, 24, 24, 33, 27, 33]",ga_gen_500.csv:gen146,302,510,14,309.0
237,"[6, 0, 47, 41, 4, 49, 47, 31]",ga_gen_500.csv:gen148,481,334,11,486.5
238,"[13, 1, 33, 34, 5, 36, 41, 29]",ga_gen_500.csv:gen150,483,330,13,489.5
239,"[11, 20, 41, 31, 27, 48, 37, 48]",ga_gen_500.csv:gen152,304,514,8,308.0
